,0
0,#
1,#
2,#
3,#
4,#
5,#
6,#
7,#
8,#
9,#
10,#
11,#
12,#
13,#
14,#
15,#
16,#
17,#
18,#
19,#
20,#
21,#
22,#
23,#
24,#coffee
25,#coffeeshop
26,#cafe
27,#cafestagram
28,#
29,#
30,#
31,#
32,#
33,#
34,#
35,#
36,#
37,#
38,#
39,#
40,#
41,#
42,#
43,#
44,#
45,#
46,#
47,#
48,#
49,#
50,#
51,#
52,#
53,#
54,#coffee
55,#coffeeshop
56,#cafe
57,#cafestagram
58,#
59,#
60,#
61,#
62,#
63,#
64,#
65,#
66,#
67,#
68,#
69,#
70,#
71,#
72,#
73,#
74,#
75,#
76,#
77,#
78,#
79,#
80,#
81,#
82,#
83,#
84,#
85,#coffee
86,#coffeeshop
87,#cafe
88,#cafestagram
89,#
90,#
91,#
92,#
93,#
94,#
95,#
96,#
97,#
98,#
99,#
100,#
101,#
102,#
103,#
104,#
105,#
106,#
107,#
108,#
109,#
110,#
111,#
112,#
113,#
114,#
115,#coffee
116,#coffeeshop
117,#cafe
118,#cafestagram
119,#
120,#
121,#
122,#
123,#
124,#
125,#
126,#
127,#
128,#
129,#
130,#
131,#
132,#
133,#
134,#
135,#
136,#
137,#
138,#
139,#
140,#
141,#
142,#
143,#
144,#
145,#
146,#coffee
147,#coffeeshop
148,#cafe
149,#cafestagram
150,#
151,#
152,#
153,#
154,#
155,#
156,#
157,#
158,#
159,#
160,#
161,#
162,#
163,#
164,#
165,#
166,#
167,#
168,#
169,#
170,#
171,#
172,#
173,#
174,#
175,#coffee
176,#coffeeshop
177,#cafe
178,#cafestagram
179,#
180,#
181,#
182,#
183,#
184,#
185,#
186,#
187,#
188,#
189,#
190,#
191,#
192,#
193,#
194,#
195,#
196,#
197,#
198,#
199,#
200,#
201,#
202,#
203,#
204,#
205,#
206,#
207,#
208,#
209,#
210,#
211,#
212,#
213,#
214,#
215,#
216,#cafejamei
217,#jameicafe
218,#jamei
219,#handdrip
220,#brewingcoffee
221,#brewing
222,#coldbrew
223,#coffeetime
224,#coffeeshop
225,#coffee
226,#specialtycoffee
227,#
228,#
229,#
230,#
231,#
232,#
233,#
234,#
235,#
236,#
237,#
238,#
239,#
240,#
241,#
242,#
243,#
244,#
245,#
246,#
247,#
248,#daily
249,#
250,#
251,#
252,#
253,#
254,#
255,#
256,#followforfollowback
257,#follow
258,#f4follow
259,#l4l
260,#
261,#
262,#
263,#
264,#
265,#
266,#
267,#
268,#
269,#
270,#
271,#
272,#
273,#
274,#
275,#
276,#
277,#
278,#
279,#
280,#
281,#
282,#
283,#
284,#coffee
285,#coffeeshop
286,#cafe
287,#cafestagram
288,#
289,#
290,#
291,#
292,#
293,#
294,#
295,#
296,#
297,#
298,#
299,#
300,#
301,#
302,#
303,#
304,#
305,#cafejamei
306,#jameicafe
307,#jamei
